source,target,weight
sugar,onion,26258
sugar,wine,7542
sugar,bourbon,1035
sugar,pecan,11118
sugar,cheese,8774
sugar,green,4347
sugar,mushroom,1803
sugar,oregano,3297
sugar,pepper,15380
sugar,yeast,5327
sugar,way,546
sugar,wheat,6075
sugar,oil,18817
sugar,gra,5584
sugar,celery,3755
sugar,cider,3609
sugar,tomato,7359
sugar,beef,5254
sugar,sauerkraut,344
sugar,chocolate,8383
sugar,creme,860
sugar,marshmallow,1640
sugar,capsicum,188
sugar,leaf,1168
sugar,bay,2192
sugar,beet,464
sugar,cabbage,1618
sugar,rosemary,1191
sugar,shortening,7151
sugar,syrup,3062
sugar,banana,6173
sugar,liqueur,416
sugar,sultana,488
sugar,pudding,795
sugar,friendship starter,1
sugar,breast,2827
sugar,oat,8523
sugar,cayenne,772
sugar,ginger,9404
sugar,lime,6634
sugar,date,1668
sugar,potato,3902
sugar,beer,1023
sugar,bouillon,69
sugar,paprika,3263
sugar,chili,2184
sugar,currant,892
sugar,plum,1078
sugar,rice,4615
sugar,broth,2608
sugar,shrimp,1257
sugar,zucchini,1724
sugar,brandy,1656
sugar,cherry,3357
sugar,juice,1654
sugar,pista,607
sugar,tapioca,368
sugar,whip,3618
sugar,dill,1164
sugar,vinegar,8831
sugar,basil,3945
sugar,bean,5319
sugar,nam pla,32
sugar,shallot,1584
sugar,cucumber,2205
sugar,orange,5831
sugar,tofu,859
sugar,sake,429
sugar,pea,3050
sugar,sherry,1077
sugar,curry,1252
sugar,lamb,391
sugar,mint,2558
sugar,marnier,612
sugar,cilantro,2828
sugar,endive,39
sugar,lettuce,1339
sugar,chinese,120
sugar,floret,422
sugar,chile,802
sugar,top,388
sugar,vodka,779
sugar,marsala,72
sugar,mascarpone,171
sugar,style,298
sugar,ladyfinger,323
sugar,sec,340
sugar,crust,55
sugar,parsley,3528
sugar,sweetener,222
sugar,eel,1491
sugar,ground,22606
sugar,rhubarb,1276
sugar,thyme,2675
sugar,dough,262
sugar,semolina,207
sugar,pasta,890
sugar,sage,1532
sugar,calvados,72
sugar,ketjap manis,42
sugar,oelek,124
sugar,flake,3049
sugar,cut,91
sugar,apricot,359
sugar,ngo,1362
sugar,fillet,773
sugar,bacon,3399
